school_name,comment
东北大学,"菜鸟,xxm,北大,第一块,公办,学校,黑皮,先安,8.0,打篮球,南边,run,空调,泪千行,宿舍,满星,浑南,人才,校徽,感犯,win,一分钟,白山黑水,神话,前身,彳亍,停电,赶紧,一点,七月,难民营,哥们,东大,绝逼能,吊打,211,自强不息,母校,妈安,9B5,24,薛浩宇,风华,逸夫,校庆,自卑,太美丽,肖一航,985,大连海事大学,大学,梦校,门锁,东兵,为荣,再冲,东北大学,模拟,第一台,先给,骄傲,楼用,海事,书记,桑拿房,秦校,难吃,东北,五星"
东北大学秦皇岛分校,"沈阳,全装,硕士,哥们,run,校区,河北省,做梦,分数线,满昏,技术员,双非,50,官威,青年,高校,985,保研,分校,知行合一,前段时间,胡说八道,把鹏远,汤职,莫过于,好像,爱死,燕大,nmlgb,东秦,荣耀,赶走,第一,输麻,万古,赶上,牙关,录取,两字,公办,211,小汤,向潇湘,大义,984.5,既来之,扩招,青春,张嘉博,摔破,不用,五颗星,老哥,top,东北大学,好歹,跑操,650"
东北师范大学,"关窗户,而学,长白,上岸,东北师范大学,二三,毕业,克利夫兰,前女友,远方,难受,三本,舍六人,情校,后花园,想教,好评,炽烈,预备役,有荣,通去,校区,高水平,不雪休,学姐,军训,斯文,母校,创新,yyds,211,第一第二,这批,感动,不能不要,学子,辽宁省,极强,2016,别梦寒,正门,400,泪目,为人师表,隔壁,青春,满分,抵不住,东北大学,基础教育,关怀,天天,老师,大工,通知,原因,群星璀璨,星星,人间,山沟,快点,唯一,暴雪,指日可待,砥柱,外教,哥们,在我心中,附属,公办,学弟,硕老,梦校,东师"
东北林业大学,"书杯,一万个,造完,跳闸,吱声,卧槽,林大过,四年,你林,冻死,计控,老生,考上,答辩,停暖,工大,jb,池浅,考大学,老师,211,分期,玩意,为啥,兄弟,肯定,低过,幸福感,二手,26,公办,各个方面,罗志宏,文坛,一所,不孕,用东,歌姬,六天,打卡,刚创,母校,晚意,害怕,八人合宿,磨灭,暖气,厕所,一餐,外卖,大学,学校,发一区,没来,彼样,漏水,好多,六分,集中营,很傻,王八,农大,213,后勤,糊弄,体验,林大,这读,装修,上人,一星,宿舍,保安,踏马,全让"
东北电力大学,"id,专升本,206,铁锹,二本,没水,电气专业,遗憾,滑梯,nb,团膳,教务处,冯家,地窄,电刀,评分表,东油,东北大学,脑袋,校园网,带班,221,冒充,雪车,神中神,智信,小馆,过导,满分,小观,母校,58,电力大学,电气,就业,停电,海洋大学"
东北石油大学,"学生,一星,当人,整月,毕了业,张琦东,差点,坐落于,几任,紫薇,原神,心目,学院,三任,气热,上山,石油大学,两任,杀游卡,有个,形同虚设,任教,祥阁,东油,垃圾,话不投机半句多,篮球场,奶奶,五百三十,导员长,love,刚过,哈哈哈哈,软工,不热,别装,教学楼,没点,一对,母校,公办,乐色,冻手,学校,冻死"
东北财经大学,"最美,别来,氛围,学长,能评,委屈,四非,雙飞,211,重点高中,满分,我财,羡慕,母校,餐券,评个,破财,商量,财经大学,985211,本硕,期末试卷,恬淡,新评,导员,杜菲,楼下,一星,满昏,上个,双非,一零一,疗养院,梨膏,每羊,东财,精彩,财东,梯队"
东华大学,"名字,要命,领域,录取分数,同名,里算,拉面,华纺,留下,东华大学,校区,舍友,很缺,高中,shu,不错,一般般,不行,改个,OMG,陈国庆,专业,延安,美滋滋,军训,dhu,不骗你,那滚,答辩,服装学院,华理,化工,公办,保研,三分,化学,松江,宿舍,球场,难受,made,好玩,啊啊啊,学校,想念,女朋友,不差,挠弹,第一,有个,校长,母校,傻鸟,就业,有卷,偷拍,学妹,yyds,211,回忆,中国,缝纫机,扣一星,2021"
东华理工大学,"别理,瞿紫林,江湖人称,学校,太烂,承不承认,带笔,我水环,答辩,啊啊啊,早晚自习,核工业,低星,后山,评先,华东,枫林,收留,几把,哥们,理工学,保研,打灰,校徽,公办,学长,东曦,大一上,范家,20,早自习,我考,志远,校区,答题,南昌大学,紫灵,紫荆,奉公,史王,回不去,南门,冻梨"
东南大学,"985,东南大学,黄校,太会,撑场面,期待,一件,其他软件,遗风,高中,公办,学校,被删,活到,神评,特地,有名,评论,改善,25,学生处,和解,两颗,观神评,发现,江苏,100,护城河,跑操,解决不了,研发,小鱼儿,久红,哈哈哈哈,211,老婆,好活,闲工夫,一卡通,有没有,飞踢,南京,人杰地灵,黄如,底蕴,大学,教研,天花板,过得,请留下,张广军,2.5,控评,17,读书,评来,教五,江苏省,我命,车大,同学,九龙湖,可不"
